embedding_model,n_neighbors,cluster_size,n_topics,c_v,c_npmi,u_mass
granite,5,5,64,0.47764815923711934,-0.023181735703811927,-5.881825168742684
granite,5,10,30,0.5345696837014255,-0.006749016404565095,-4.920437406636202
granite,5,15,5,0.53571726171259,-0.040421289149025326,-5.149321953624693
granite,5,20,4,0.5447680546581579,-0.030467111469932254,-4.908179828270287
granite,5,25,3,0.5924969014884404,-0.020418480508300613,-3.2019736137609307
granite,5,30,3,0.5924969014884404,-0.020418480508300613,-3.193461152937644
granite,5,35,3,0.5248595344841908,-0.041494726001484426,-3.4364264956727175
granite,5,40,3,0.5114505001671112,-0.06132812656538761,-3.5899985429206023
granite,5,45,2,0.33189369142453207,-0.3157545874007205,-10.863941643008681
granite,5,50,2,0.40114506641953795,-0.2697254909111155,-9.756967111117884
granite,10,5,49,0.5039416302618056,0.0052107520280442335,-5.211825518920037
granite,10,10,24,0.5424334680437671,0.0162848789812256,-4.538520090812728
granite,10,15,10,0.602796356305433,0.01966090290628789,-4.575882366947856
granite,10,20,4,0.5321426162583265,-0.025069230836777298,-4.5950082067930955
granite,10,25,4,0.5327681569035951,-0.045992328960835924,-5.118105162805548
granite,10,30,3,0.5266334462456776,-0.07587747128671675,-4.2792752560953256
granite,10,35,3,0.56540427300205,-0.06437182794963926,-2.9957428149820227
granite,10,40,3,0.5860326399068818,-0.05836586778672074,-2.932817587909563
granite,10,45,2,0.36681725221912875,-0.30688547648022,-8.194033022343183
granite,10,50,2,0.3395597166148253,-0.32585369594318037,-7.368677479018475
granite,15,5,55,0.4822844578684014,-0.019486571489239126,-6.170696508039101
granite,15,10,24,0.5733385178490007,0.020438428168477688,-4.170805952101273
granite,15,15,3,0.5923437773746784,0.028619387423317665,-2.1430622653755353
granite,15,20,3,0.5855188860087542,0.024933501094598392,-2.421001669099873
granite,15,25,3,0.603031796521062,0.030818345660875105,-2.514884190059773
granite,15,30,3,0.5346313562891553,-0.03006128653886261,-3.2941810389192994
granite,15,35,3,0.5307061750830296,-0.013044085574006208,-3.528240172227935
granite,15,40,2,0.5945172099786673,0.07797837554764017,-1.9673012172417432
granite,15,45,2,0.3241692382488838,-0.24479142376209495,-5.401893341938012
granite,15,50,2,0.37360002904879486,-0.2368589245239916,-4.236205115823357
granite,20,5,55,0.48678292646490906,-0.008704988353913918,-5.958672454578808
granite,20,10,25,0.5471217668352628,-0.0048900698173694,-4.659906541795639
granite,20,15,3,0.5171192465643367,-0.036173893357029356,-2.9914765678198054
granite,20,20,2,0.3424251437054433,-0.31945893527135494,-13.105206794806739
granite,20,25,3,0.4857670810447301,-0.08741618630850174,-3.5107157288068223
granite,20,30,3,0.4810209662050043,-0.08591931786173702,-3.9541386758484958
granite,20,35,3,0.49787776504284814,-0.0484769324384898,-3.6391013326872943
granite,20,40,2,0.4117725705209875,-0.20936847765934072,-5.039987408648087
granite,20,45,2,0.36991306043288663,-0.24104842845596572,-7.171420129720557
granite,20,50,2,0.3699130604328866,-0.24104842845596575,-7.182969278801421
paraphrase,5,5,61,0.45617134051377384,-0.05118593050282335,-6.444357625354164
paraphrase,5,10,24,0.49703460034233676,-0.029786837980377134,-4.85562456821409
paraphrase,5,15,11,0.4869844952983006,-0.04005113811853492,-4.867157416758275
paraphrase,5,20,3,0.4469953709023253,-0.13859413932480774,-4.265924650013837
paraphrase,5,25,3,0.42406158708372854,-0.14445853452630422,-5.082598775034902
paraphrase,5,30,4,0.43229519478618716,-0.12110117215241979,-4.685487081733479
paraphrase,5,35,3,0.31148790017395034,-0.3882872391197851,-12.213794856234522
paraphrase,5,40,3,0.3164960535355968,-0.3885182551010855,-12.170314415320943
paraphrase,5,45,3,0.3257735828236586,-0.38073875797100926,-12.045807390916226
paraphrase,5,50,3,0.33664959706599157,-0.381434456016724,-12.6505537753568
paraphrase,10,5,62,0.4547230933202113,-0.05246458079473192,-6.651420781870391
paraphrase,10,10,13,0.5442068127268131,0.004273080830356374,-3.8334514725817828
paraphrase,10,15,2,0.5775170564247498,0.06059122260387151,-2.074018035606616
paraphrase,10,20,2,0.5101024544755323,-0.03277317604074613,-3.2887637190016825
paraphrase,10,25,5,0.4388688579610944,-0.1068143577114169,-4.4331173259588095
paraphrase,10,30,4,0.38845508125644324,-0.18730077395096334,-6.330851825085215
paraphrase,10,35,4,0.417623180375876,-0.20448456040558802,-5.757224300374547
paraphrase,10,40,3,0.3544201780694041,-0.23629752516252855,-10.119983882363883
paraphrase,10,45,2,0.2867991241502135,-0.3118518361342364,-10.940185217223851
paraphrase,10,50,3,0.27902703519939204,-0.27004367559231157,-9.498696534494437
paraphrase,15,5,61,0.46054840403724984,-0.06463902384927912,-6.866158398868208
paraphrase,15,10,9,0.590743992443437,0.05059018168837415,-2.348568359190902
paraphrase,15,15,6,0.5382561840886501,-0.0013919511143762355,-2.6546777194897477
paraphrase,15,20,5,0.4374100509200586,-0.10154094031156254,-6.371490101218798
paraphrase,15,25,4,0.46219697159215134,-0.15193812358846534,-4.789140747841037
paraphrase,15,30,4,0.3965362275649228,-0.17439627052153445,-5.986577876737091
paraphrase,15,35,4,0.39409441523062194,-0.1553694715646143,-5.6347647242796945
paraphrase,15,40,3,0.287741133716174,-0.19582642140983353,-9.311660128026
paraphrase,15,45,3,0.24966045618266816,-0.19474974654372532,-9.645278941783912
paraphrase,15,50,3,0.2844495488809146,-0.18073788590706483,-9.685211650665272
paraphrase,20,5,57,0.43742506574683965,-0.05796162289250985,-6.07025978123199
paraphrase,20,10,6,0.5429924928530134,0.019195300012755132,-3.2432163691621483
paraphrase,20,15,4,0.49536588857346164,-0.10936849773792526,-4.572026105097832
paraphrase,20,20,4,0.4773341080526947,-0.07532780465359193,-3.3360977157436333
paraphrase,20,25,4,0.4273804344452169,-0.1120274896981812,-3.5253612618891133
paraphrase,20,30,4,0.4153535576480136,-0.10089226496069353,-4.65488731305557
paraphrase,20,35,3,0.3136838714555538,-0.23997962923250413,-9.708301816745644
paraphrase,20,40,3,0.32914650938921,-0.21286325785622406,-9.339393412362426
paraphrase,20,45,3,0.2980022441707141,-0.23571224982966976,-9.995372949420283
paraphrase,20,50,3,0.3029834288679134,-0.25105329769307455,-9.773621904986756
