embedding_model,n_neighbors,cluster_size,n_topics,c_v,c_npmi,u_mass
granite,5,5,64,0.47764815923711934,-0.023181735703811927,-5.881825168742684
granite,5,10,30,0.5345696837014255,-0.006749016404565095,-4.920437406636202
granite,5,15,5,0.53571726171259,-0.040421289149025326,-5.149321953624693
granite,10,5,49,0.5039416302618056,0.0052107520280442335,-5.211825518920037
granite,10,10,24,0.5424334680437671,0.0162848789812256,-4.538520090812728
granite,10,15,10,0.602796356305433,0.01966090290628789,-4.575882366947856
granite,15,5,55,0.4822844578684014,-0.019486571489239126,-6.170696508039101
granite,15,10,24,0.5733385178490007,0.020438428168477688,-4.170805952101273
granite,20,5,55,0.48678292646490906,-0.008704988353913918,-5.958672454578808
granite,20,10,25,0.5471217668352628,-0.0048900698173694,-4.659906541795639
paraphrase,5,5,61,0.45617134051377384,-0.05118593050282335,-6.444357625354164
paraphrase,5,10,24,0.49703460034233676,-0.029786837980377134,-4.85562456821409
paraphrase,5,15,11,0.4869844952983006,-0.04005113811853492,-4.867157416758275
paraphrase,10,5,62,0.4547230933202113,-0.05246458079473192,-6.651420781870391
paraphrase,10,10,13,0.5442068127268131,0.004273080830356374,-3.8334514725817828
paraphrase,10,25,5,0.4388688579610944,-0.1068143577114169,-4.4331173259588095
paraphrase,15,5,61,0.46054840403724984,-0.06463902384927912,-6.866158398868208
paraphrase,15,10,9,0.590743992443437,0.05059018168837415,-2.348568359190902
paraphrase,15,15,6,0.5382561840886501,-0.0013919511143762355,-2.6546777194897477
paraphrase,15,20,5,0.4374100509200586,-0.10154094031156254,-6.371490101218798
paraphrase,20,5,57,0.43742506574683965,-0.05796162289250985,-6.07025978123199
paraphrase,20,10,6,0.5429924928530134,0.019195300012755132,-3.2432163691621483
